experiment_name,experiment_alias,profile,experiment_type,benchmark,batch_size,configured_num_samples,num_gpus,per_gpu_vram_gb,measurement_id,scenario,event_index,timestamp,action,model_id,details,phase
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,1,2026-06-10T07:47:41.226233,start,qwen3.5-27b,GPU(s)=[1],startup_preload
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,2,2026-06-10T07:47:41.264937,start,qwen3.5-9b,GPU(s)=[1],startup_preload
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,3,2026-06-10T07:47:41.304311,start,qwen3.5-35b-moe,GPU(s)=[0],startup_preload
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,4,2026-06-10T07:47:41.329676,start,qwen3.5-4b,GPU(s)=[0],startup_preload
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,5,2026-06-10T09:37:36.763503,stop,qwen3.5-4b,,runtime
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,6,2026-06-10T09:37:37.680975,stop,qwen3.5-9b,,runtime
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,7,2026-06-10T09:37:38.649063,stop,qwen3.5-35b-moe,,runtime
random_mixed_20260610_094200,random_mixed_20260610_094200,uni,random_routing,mixed,32,400,2,80,1,random_routing,8,2026-06-10T09:37:39.719791,stop,qwen3.5-27b,,runtime
