experiment_name,experiment_alias,profile,experiment_type,benchmark,batch_size,configured_num_samples,num_gpus,per_gpu_vram_gb,measurement_id,scenario,event_index,timestamp,action,model_id,details,phase
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,1,2026-06-11T23:05:51.551666,start,qwen3.5-27b,GPU(s)=[1],startup_preload
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,2,2026-06-11T23:05:51.571462,start,qwen3.5-9b,GPU(s)=[1],startup_preload
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,3,2026-06-11T23:05:51.591106,start,qwen3.5-35b-moe,GPU(s)=[0],startup_preload
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,4,2026-06-11T23:05:51.610670,start,qwen3.5-4b,GPU(s)=[0],startup_preload
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,5,2026-06-12T00:37:25.230575,stop,qwen3.5-4b,,runtime
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,6,2026-06-12T00:37:26.951920,stop,qwen3.5-9b,,runtime
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,7,2026-06-12T00:37:28.073425,stop,qwen3.5-35b-moe,,runtime
random_mixed_20260612_004142,,uni,random_routing,mixed,32,400,2,80,1,random_routing,8,2026-06-12T00:37:29.244768,stop,qwen3.5-27b,,runtime
