experiment_name,experiment_alias,profile,experiment_type,benchmark,batch_size,configured_num_samples,num_gpus,per_gpu_vram_gb,measurement_id,scenario,event_index,timestamp,action,model_id,details,phase
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,1,2026-06-12T02:17:35.210725,start,qwen3.5-27b,GPU(s)=[1],startup_preload
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,2,2026-06-12T02:17:35.234863,start,qwen3.5-9b,GPU(s)=[1],startup_preload
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,3,2026-06-12T02:17:35.258960,start,qwen3.5-35b-moe,GPU(s)=[0],startup_preload
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,4,2026-06-12T02:17:35.283136,start,qwen3.5-4b,GPU(s)=[0],startup_preload
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,5,2026-06-12T03:50:11.459323,stop,qwen3.5-4b,,runtime
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,6,2026-06-12T03:50:12.477890,stop,qwen3.5-9b,,runtime
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,7,2026-06-12T03:50:13.498231,stop,qwen3.5-35b-moe,,runtime
random_mixed_20260612_035135,,uni,random_routing,mixed,32,400,2,80,1,random_routing,8,2026-06-12T03:50:15.268318,stop,qwen3.5-27b,,runtime
