experiment_name,measurement_id,time_s,power_watts
baseline_mixed_20260608_205213,1,12.7,117.27
baseline_mixed_20260608_205213,1,12.8,117.15
baseline_mixed_20260608_205213,1,12.9,117.17
baseline_mixed_20260608_205213,1,13.0,117.29
baseline_mixed_20260608_205213,1,13.1,117.17
baseline_mixed_20260608_205213,1,13.2,117.37
baseline_mixed_20260608_205213,1,13.3,117.17
baseline_mixed_20260608_205213,1,13.4,117.27
baseline_mixed_20260608_205213,1,13.5,117.17
baseline_mixed_20260608_205213,1,13.6,117.25
baseline_mixed_20260608_205213,1,13.7,117.27
baseline_mixed_20260608_205213,1,13.8,117.18
baseline_mixed_20260608_205213,1,13.9,117.29
baseline_mixed_20260608_205213,1,14.0,117.26
baseline_mixed_20260608_205213,1,14.1,117.37
baseline_mixed_20260608_205213,1,14.2,117.37
baseline_mixed_20260608_205213,1,14.3,117.27
baseline_mixed_20260608_205213,1,14.4,117.18
baseline_mixed_20260608_205213,1,14.5,117.18
baseline_mixed_20260608_205213,1,14.6,117.27
baseline_mixed_20260608_205213,1,14.7,117.36
baseline_mixed_20260608_205213,1,14.8,117.27
baseline_mixed_20260608_205213,1,14.9,117.07
baseline_mixed_20260608_205213,1,15.0,117.16
baseline_mixed_20260608_205213,1,15.1,117.06
baseline_mixed_20260608_205213,1,15.2,117.06
baseline_mixed_20260608_205213,1,15.3,117.18
baseline_mixed_20260608_205213,1,15.4,117.17
baseline_mixed_20260608_205213,1,15.5,117.07
baseline_mixed_20260608_205213,1,15.6,117.19
baseline_mixed_20260608_205213,1,15.7,117.07
baseline_mixed_20260608_205213,1,15.8,117.17
baseline_mixed_20260608_205213,1,15.9,117.15
baseline_mixed_20260608_205213,1,16.0,117.17
baseline_mixed_20260608_205213,1,16.1,117.27
baseline_mixed_20260608_205213,1,16.2,117.26
baseline_mixed_20260608_205213,1,16.3,117.18
baseline_mixed_20260608_205213,1,16.4,117.07
baseline_mixed_20260608_205213,1,16.5,117.07
baseline_mixed_20260608_205213,1,16.6,117.07
baseline_mixed_20260608_205213,1,16.7,117.07
baseline_mixed_20260608_205213,1,16.8,117.17
baseline_mixed_20260608_205213,1,16.9,117.17
baseline_mixed_20260608_205213,1,17.0,117.07
baseline_mixed_20260608_205213,1,17.1,117.17
baseline_mixed_20260608_205213,1,17.2,117.07
baseline_mixed_20260608_205213,1,17.3,117.17
baseline_mixed_20260608_205213,1,17.4,117.17
baseline_mixed_20260608_205213,1,17.5,117.17
baseline_mixed_20260608_205213,1,17.6,117.07
baseline_mixed_20260608_205213,1,17.7,117.18
baseline_mixed_20260608_205213,1,17.8,117.18
baseline_mixed_20260608_205213,1,17.9,117.18
baseline_mixed_20260608_205213,1,18.0,117.15
baseline_mixed_20260608_205213,1,18.1,117.18
baseline_mixed_20260608_205213,1,18.2,117.07
baseline_mixed_20260608_205213,1,18.3,117.15
baseline_mixed_20260608_205213,1,18.4,117.07
baseline_mixed_20260608_205213,1,18.5,117.17
baseline_mixed_20260608_205213,1,18.6,117.07
baseline_mixed_20260608_205213,1,18.7,117.07
baseline_mixed_20260608_205213,1,18.8,117.18
baseline_mixed_20260608_205213,1,18.9,117.07
baseline_mixed_20260608_205213,1,19.0,117.07
baseline_mixed_20260608_205213,1,19.1,116.97
baseline_mixed_20260608_205213,1,19.2,117.07
baseline_mixed_20260608_205213,1,19.3,117.07
baseline_mixed_20260608_205213,1,19.4,117.07
baseline_mixed_20260608_205213,1,19.5,117.06
baseline_mixed_20260608_205213,1,19.6,117.17
baseline_mixed_20260608_205213,1,19.7,117.07
baseline_mixed_20260608_205213,1,19.8,117.06
baseline_mixed_20260608_205213,1,19.9,117.16
baseline_mixed_20260608_205213,1,20.0,117.17
baseline_mixed_20260608_205213,1,20.1,117.17
baseline_mixed_20260608_205213,1,20.2,117.16
baseline_mixed_20260608_205213,1,20.3,117.07
baseline_mixed_20260608_205213,1,20.4,117.06
baseline_mixed_20260608_205213,1,20.5,117.06
baseline_mixed_20260608_205213,1,20.6,117.07
baseline_mixed_20260608_205213,1,20.7,117.06
baseline_mixed_20260608_205213,1,20.8,117.07
baseline_mixed_20260608_205213,1,20.9,117.07
baseline_mixed_20260608_205213,1,21.0,117.17
baseline_mixed_20260608_205213,1,21.1,117.07
baseline_mixed_20260608_205213,1,21.2,116.96
baseline_mixed_20260608_205213,1,21.3,117.06
baseline_mixed_20260608_205213,1,21.4,117.07
baseline_mixed_20260608_205213,1,21.5,117.18
baseline_mixed_20260608_205213,1,21.6,116.96
baseline_mixed_20260608_205213,1,21.7,117.07
baseline_mixed_20260608_205213,1,21.8,117.06
baseline_mixed_20260608_205213,1,21.9,117.18
baseline_mixed_20260608_205213,1,22.0,117.07
baseline_mixed_20260608_205213,1,22.1,117.17
baseline_mixed_20260608_205213,1,22.2,116.97
baseline_mixed_20260608_205213,1,22.3,117.07
baseline_mixed_20260608_205213,1,22.4,116.96
baseline_mixed_20260608_205213,1,22.5,117.07
baseline_mixed_20260608_205213,1,22.6,117.07
baseline_mixed_20260608_205213,1,22.7,116.95
baseline_mixed_20260608_205213,1,22.8,117.06
baseline_mixed_20260608_205213,1,22.9,116.96
baseline_mixed_20260608_205213,1,23.0,116.85
baseline_mixed_20260608_205213,1,23.1,117.07
baseline_mixed_20260608_205213,1,23.2,117.17
baseline_mixed_20260608_205213,1,23.3,116.95
baseline_mixed_20260608_205213,1,23.4,116.96
baseline_mixed_20260608_205213,1,23.5,117.18
baseline_mixed_20260608_205213,1,23.6,116.96
baseline_mixed_20260608_205213,1,23.7,117.07
baseline_mixed_20260608_205213,1,23.8,116.95
baseline_mixed_20260608_205213,1,23.9,117.18
baseline_mixed_20260608_205213,1,24.0,117.07
baseline_mixed_20260608_205213,1,24.1,117.07
baseline_mixed_20260608_205213,1,24.2,116.95
baseline_mixed_20260608_205213,1,24.3,117.17
baseline_mixed_20260608_205213,1,24.4,117.07
baseline_mixed_20260608_205213,1,24.5,117.07
baseline_mixed_20260608_205213,1,24.6,116.95
baseline_mixed_20260608_205213,1,24.7,117.18
baseline_mixed_20260608_205213,1,24.8,116.96
baseline_mixed_20260608_205213,1,24.9,116.96
baseline_mixed_20260608_205213,1,25.0,116.95
baseline_mixed_20260608_205213,1,25.1,117.07
baseline_mixed_20260608_205213,1,25.2,117.0
baseline_mixed_20260608_205213,1,25.3,117.11
baseline_mixed_20260608_205213,1,25.4,116.98
baseline_mixed_20260608_205213,1,25.5,117.09
baseline_mixed_20260608_205213,1,25.6,116.88
baseline_mixed_20260608_205213,1,25.7,116.97
baseline_mixed_20260608_205213,1,25.8,116.89
baseline_mixed_20260608_205213,1,25.9,116.96
baseline_mixed_20260608_205213,1,26.0,116.98
baseline_mixed_20260608_205213,1,26.1,116.98
baseline_mixed_20260608_205213,1,26.2,116.98
baseline_mixed_20260608_205213,1,26.3,117.17
baseline_mixed_20260608_205213,1,26.4,117.07
baseline_mixed_20260608_205213,1,26.5,117.07
baseline_mixed_20260608_205213,1,26.6,117.18
baseline_mixed_20260608_205213,1,26.7,117.17
