experiment_name,experiment_alias,profile,experiment_type,benchmark,batch_size,configured_num_samples,num_gpus,per_gpu_vram_gb,scenario,reroute_count,routing_failures,measurement_energy_joules,measurement_dynamic_energy_joules,measurement_duration_seconds,measurement_avg_power_watts,measurement_dynamic_power_watts,measurement_min_power_watts,measurement_max_power_watts,measurement_idle_power_watts,measurement_num_power_samples,measurement_total_input_tokens,measurement_total_output_tokens,measurement_total_tokens,measurement_num_samples,measurement_avg_input_tokens_per_sample,measurement_avg_output_tokens_per_sample,measurement_avg_latency_seconds,measurement_p50_latency_seconds,measurement_p95_latency_seconds,measurement_accuracy,measurement_eq_score,measurement_eq_score_unit,measurement_requests_per_second,measurement_tokens_per_second,measurement_joules_per_output_token,measurement_millijoules_per_output_token,measurement_tokens_per_joule,measurement_tokens_per_watthour,measurement_energy_watthours,measurement_dynamic_energy_watthours,measurement_thinking_share,measurement_reroute_rate,measurement_routing_failure_rate,measurement_scheduler_event_count,measurement_scheduler_startup_event_count,measurement_scheduler_runtime_event_count,measurement_id,source_experiment,source_result_path,source_measurement_id,thinking_count,no_thinking_count,routing_stats_json,thinking_stats_json,scheduler_event_count,scheduler_startup_event_count,scheduler_runtime_event_count,scheduler_action_counts_json
average_mixed_router_router_scheduler_4runs_20260612_081025,Router,uni,router,mixed,32,400,2,80,router_scheduler,0,0,1523430.7827869074,1094793.82425168,3691.709085809998,412.66273895811355,296.55473895811355,115.874,736.556,116.108,35071,150938,1641825,1792763,400,377.345,4104.5625,101.6054878984706,104.30847675399855,179.12592163076624,0.65,2.1373887467801995,quality_per_kilowatthour,0.1083508994621216,444.7330387734945,0.666815174730364,666.815174730364,1.4996659312745302,5398.797352588308,423.1752174408076,304.1093956254667,0.225,0.0,0.0,8,4,4,1,router_mixed_20260609_222856,src/results/BATCH32/MIXED/router_mixed_20260609_222856,1,90,310,"{""qwen3.5-9b"": 64, ""qwen3.5-35b-moe"": 280, ""qwen3.5-27b"": 50, ""qwen3.5-4b"": 6}","{""thinking"": 90, ""no_thinking"": 310}",8,4,4,"{""start"": 4, ""stop"": 4}"
average_mixed_router_router_scheduler_4runs_20260612_081025,Router,uni,router,mixed,32,400,2,80,router_scheduler,0,0,1504622.0922134991,1081267.0402093958,3609.5034658331424,416.8501586037967,299.5611586037967,116.509,702.691,117.289,34293,157066,1587968,1745034,400,392.665,3969.92,99.46000483056879,99.31772189214826,210.50411221159135,0.6425,2.139157038905088,quality_per_kilowatthour,0.11081856653867275,439.9408436732077,0.6809123610862409,680.9123610862408,1.468617779833997,5287.0240074023895,417.9505811704164,300.35195561372103,0.2275,0.0,0.0,8,4,4,2,router_mixed_20260610_023200,src/results/BATCH32/MIXED/router_mixed_20260610_023200,1,91,309,"{""qwen3.5-35b-moe"": 287, ""qwen3.5-4b"": 7, ""qwen3.5-9b"": 60, ""qwen3.5-27b"": 46}","{""thinking"": 91, ""no_thinking"": 309}",8,4,4,"{""start"": 4, ""stop"": 4}"
average_mixed_router_router_scheduler_4runs_20260612_081025,Router,uni,router,mixed,32,400,2,80,router_scheduler,0,0,1546112.7611775456,1119433.53702927,3687.679113498889,419.2644515944843,303.5604515944843,115.16499999999999,727.844,115.70400000000001,35027,144536,1602837,1747373,400,361.34,4007.0925,100.30298748111004,103.87739479052834,203.63888793019578,0.64,2.0581838258252545,quality_per_kilowatthour,0.10846930757499612,434.6465488639601,0.6984075966734422,698.4075966734422,1.431828640987098,5154.5831075535525,429.4757669937627,310.95376028590834,0.225,0.0,0.0,8,4,4,3,router_mixed_20260610_180944,src/results/BATCH32/MIXED/router_mixed_20260610_180944,1,90,310,"{""qwen3.5-35b-moe"": 281, ""qwen3.5-27b"": 50, ""qwen3.5-9b"": 63, ""qwen3.5-4b"": 6}","{""thinking"": 90, ""no_thinking"": 310}",8,4,4,"{""start"": 4, ""stop"": 4}"
average_mixed_router_router_scheduler_4runs_20260612_081025,Router,uni,router,mixed,32,400,2,80,router_scheduler,0,0,1792214.888609746,1228822.3152911253,4280.805821171962,418.66297222495575,287.05397222495577,126.733,687.617,131.60899999999998,40648,149847,1688860,1838707,400,374.6175,4222.15,104.30523518172093,106.25878263497725,198.23329372610897,0.6525,1.9115863789009144,quality_per_kilowatthour,0.09344035135200117,394.5191794608518,0.7276046062380098,727.6046062380099,1.374372827531119,4947.742179112029,497.8374690582628,341.33953202531256,0.2225,0.0,0.0,8,4,4,4,router_mixed_20260611_211326,src/results/BATCH32/MIXED/router_mixed_20260611_211326,1,89,311,"{""qwen3.5-35b-moe"": 278, ""qwen3.5-27b"": 50, ""qwen3.5-4b"": 7, ""qwen3.5-9b"": 65}","{""thinking"": 89, ""no_thinking"": 311}",8,4,4,"{""start"": 4, ""stop"": 4}"
