experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-35b-moe_mixed_20260608_232747,1,8.8,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,8.9,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.0,118.36
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.1,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.2,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.3,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.4,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.5,118.46
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.6,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.7,118.44
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.8,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,9.9,118.46
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.0,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.1,118.32
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.2,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.3,118.43
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.4,118.29
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.5,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.6,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.7,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.8,118.44
single_qwen3.5-35b-moe_mixed_20260608_232747,1,10.9,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.0,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.1,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.2,118.43
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.3,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.4,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.5,118.36
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.6,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.7,118.44
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.8,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,11.9,118.36
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.0,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.1,118.36
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.2,118.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.3,118.39
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.4,118.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.5,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.6,118.17
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.7,118.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.8,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,12.9,118.17
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.0,118.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.1,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.2,118.17
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.3,118.17
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.4,118.38
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.5,118.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.6,118.38
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.7,118.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.8,118.36
single_qwen3.5-35b-moe_mixed_20260608_232747,1,13.9,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.0,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.1,118.43
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.2,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.3,118.44
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.4,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.5,118.43
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.6,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.7,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.8,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,14.9,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.0,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.1,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.2,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.3,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.4,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.5,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.6,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.7,118.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.8,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,15.9,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.0,118.36
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.1,118.26
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.2,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.3,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.4,118.17
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.5,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.6,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.7,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.8,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,16.9,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.0,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.1,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.2,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.3,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.4,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.5,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.6,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.7,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.8,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,17.9,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.0,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.1,118.06
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.2,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.3,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.4,118.22
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.5,118.32
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.6,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.7,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.8,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,18.9,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.0,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.1,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.2,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.3,118.22
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.4,118.06
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.5,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.6,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.7,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.8,118.06
single_qwen3.5-35b-moe_mixed_20260608_232747,1,19.9,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.0,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.1,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.2,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.3,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.4,118.14
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.5,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.6,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.7,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.8,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,20.9,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.0,118.24
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.1,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.2,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.3,118.25
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.4,118.06
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.5,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.6,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.7,117.97
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.8,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,21.9,117.97
single_qwen3.5-35b-moe_mixed_20260608_232747,1,22.0,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,22.1,118.05
single_qwen3.5-35b-moe_mixed_20260608_232747,1,22.2,118.04
single_qwen3.5-35b-moe_mixed_20260608_232747,1,22.3,118.15
single_qwen3.5-35b-moe_mixed_20260608_232747,1,22.4,118.05
