experiment_name,experiment_alias,profile,experiment_type,benchmark,batch_size,configured_num_samples,num_gpus,per_gpu_vram_gb,scenario,model,model_id,enable_thinking,tensor_parallel_size,data_parallel_size,measurement_energy_joules,measurement_dynamic_energy_joules,measurement_duration_seconds,measurement_avg_power_watts,measurement_dynamic_power_watts,measurement_min_power_watts,measurement_max_power_watts,measurement_idle_power_watts,measurement_num_power_samples,measurement_total_input_tokens,measurement_total_output_tokens,measurement_total_tokens,measurement_num_samples,measurement_avg_input_tokens_per_sample,measurement_avg_output_tokens_per_sample,measurement_avg_latency_seconds,measurement_p50_latency_seconds,measurement_p95_latency_seconds,measurement_accuracy,measurement_eq_score,measurement_eq_score_unit,measurement_requests_per_second,measurement_tokens_per_second,measurement_joules_per_output_token,measurement_millijoules_per_output_token,measurement_tokens_per_joule,measurement_tokens_per_watthour,measurement_energy_watthours,measurement_dynamic_energy_watthours,measurement_thinking_share,measurement_reroute_rate,measurement_routing_failure_rate,measurement_scheduler_event_count,measurement_scheduler_startup_event_count,measurement_scheduler_runtime_event_count,measurement_id,source_experiment,source_result_path,source_measurement_id,thinking_count,no_thinking_count,routing_stats_json,thinking_stats_json,scheduler_event_count,scheduler_startup_event_count,scheduler_runtime_event_count,scheduler_action_counts_json
average_mixed_baseline_qwen3.5-35b-moe_reasoning_4runs_20260609_142106,35B-A3B,uni,baseline,mixed,32,400,2,80,qwen3.5-35b-moe_reasoning,cyankiwi/Qwen3.5-35B-A3B-AWQ-4bit,qwen3.5-35b-moe,True,1,2,954649.8981254764,702056.6144106241,2128.355946367141,448.53864775530343,329.8586477553034,117.848,658.2919999999999,118.68,20270,154815,1615457,1770272,400,387.0375,4038.6425,151.39327971391378,127.69413744891062,265.5536867817864,0.6475,3.3202450516855713,quality_per_kilowatthour,0.1879384887113239,759.0163678953229,0.434587001950918,434.58700195091797,2.3010352254229165,8283.726811522498,265.1805272570768,195.01572622517338,1.0,0.0,0.0,0,0,0,1,single_qwen3.5-35b-moe_mixed_20260608_232747,src/results/BATCH32/MIXED/single_qwen3.5-35b-moe_mixed_20260608_232747,1,,,,,0,0,0,
average_mixed_baseline_qwen3.5-35b-moe_reasoning_4runs_20260609_142106,35B-A3B,uni,baseline,mixed,32,400,2,80,qwen3.5-35b-moe_reasoning,cyankiwi/Qwen3.5-35B-A3B-AWQ-4bit,qwen3.5-35b-moe,True,1,2,971934.6842751764,728404.9080510592,2062.3784846472554,471.26882456854855,353.18682456854856,117.262,706.271,118.082,19643,153968,1662037,1816005,400,384.92,4155.0925,148.30421414135023,127.63021821109578,277.064485440962,0.6425,3.175431651317024,quality_per_kilowatthour,0.19395082084965365,805.8836010812395,0.4382603444153525,438.2603444153525,2.2817487658711597,8214.295557136174,269.9818567431046,202.3346966808498,1.0,0.0,0.0,0,0,0,2,single_qwen3.5-35b-moe_mixed_20260609_000549,src/results/BATCH32/MIXED/single_qwen3.5-35b-moe_mixed_20260609_000549,1,,,,,0,0,0,
average_mixed_baseline_qwen3.5-35b-moe_reasoning_4runs_20260609_142106,35B-A3B,uni,baseline,mixed,32,400,2,80,qwen3.5-35b-moe_reasoning,cyankiwi/Qwen3.5-35B-A3B-AWQ-4bit,qwen3.5-35b-moe,True,1,2,1049636.693759228,773605.1691084914,2353.3904958670028,446.01042436543696,328.71942436543696,116.762,715.8530000000001,117.291,22417,150875,1715764,1866639,400,377.1875,4289.41,173.33085204523056,143.97568827774376,263.74959913501516,0.6225,2.8968265589312776,quality_per_kilowatthour,0.16996754287164642,729.0604780690688,0.4508808723743425,450.8808723743425,2.2178807336270254,7984.370641057292,291.56574826645226,214.8903247523587,1.0,0.0,0.0,0,0,0,3,single_qwen3.5-35b-moe_mixed_20260609_005307,src/results/BATCH32/MIXED/single_qwen3.5-35b-moe_mixed_20260609_005307,1,,,,,0,0,0,
average_mixed_baseline_qwen3.5-35b-moe_reasoning_4runs_20260609_142106,35B-A3B,uni,baseline,mixed,32,400,2,80,qwen3.5-35b-moe_reasoning,cyankiwi/Qwen3.5-35B-A3B-AWQ-4bit,qwen3.5-35b-moe,True,1,2,899832.2727287071,673053.209525896,1930.0674326610751,466.218048914522,348.720048914522,116.77600000000001,734.4259999999999,117.498,18379,145005,1579966,1724971,400,362.5125,3949.915,145.21622112292798,112.59971421491355,263.84307405073196,0.6375,3.4098344195054295,quality_per_kilowatthour,0.2072466449778395,818.6066316976429,0.4259922109247262,425.99221092472624,2.347460761851118,8450.858742664026,249.95340909130752,186.95922486830443,1.0,0.0,0.0,0,0,0,4,single_qwen3.5-35b-moe_mixed_20260609_012847,src/results/BATCH32/MIXED/single_qwen3.5-35b-moe_mixed_20260609_012847,1,,,,,0,0,0,
