experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-27b_mixed_20260611_181840,1,9.6,115.4
single_qwen3.5-27b_mixed_20260611_181840,1,9.7,115.31
single_qwen3.5-27b_mixed_20260611_181840,1,9.8,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,9.9,115.31
single_qwen3.5-27b_mixed_20260611_181840,1,10.0,115.46
single_qwen3.5-27b_mixed_20260611_181840,1,10.1,115.2
single_qwen3.5-27b_mixed_20260611_181840,1,10.2,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,10.3,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,10.4,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,10.5,115.39
single_qwen3.5-27b_mixed_20260611_181840,1,10.6,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,10.7,115.29
single_qwen3.5-27b_mixed_20260611_181840,1,10.8,115.29
single_qwen3.5-27b_mixed_20260611_181840,1,10.9,115.2
single_qwen3.5-27b_mixed_20260611_181840,1,11.0,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,11.1,115.2
single_qwen3.5-27b_mixed_20260611_181840,1,11.2,115.4
single_qwen3.5-27b_mixed_20260611_181840,1,11.3,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,11.4,115.31
single_qwen3.5-27b_mixed_20260611_181840,1,11.5,115.22
single_qwen3.5-27b_mixed_20260611_181840,1,11.6,115.22
single_qwen3.5-27b_mixed_20260611_181840,1,11.7,115.23
single_qwen3.5-27b_mixed_20260611_181840,1,11.8,115.43
single_qwen3.5-27b_mixed_20260611_181840,1,11.9,115.43
single_qwen3.5-27b_mixed_20260611_181840,1,12.0,115.41
single_qwen3.5-27b_mixed_20260611_181840,1,12.1,115.43
single_qwen3.5-27b_mixed_20260611_181840,1,12.2,115.51
single_qwen3.5-27b_mixed_20260611_181840,1,12.3,115.31
single_qwen3.5-27b_mixed_20260611_181840,1,12.4,115.42
single_qwen3.5-27b_mixed_20260611_181840,1,12.5,115.51
single_qwen3.5-27b_mixed_20260611_181840,1,12.6,115.31
single_qwen3.5-27b_mixed_20260611_181840,1,12.7,115.41
single_qwen3.5-27b_mixed_20260611_181840,1,12.8,115.3
single_qwen3.5-27b_mixed_20260611_181840,1,12.9,115.2
single_qwen3.5-27b_mixed_20260611_181840,1,13.0,115.22
single_qwen3.5-27b_mixed_20260611_181840,1,13.1,115.22
single_qwen3.5-27b_mixed_20260611_181840,1,13.2,115.3
